location,macro_suburb,property_percentile,taxi_routes,civic_responsiveness_percentile,healthcare_facilities_5km,median_gv,region,safety_score,school_count,risk_profile
Longdown Estate,Somerset Central,62.5,27,32,7,1750000,helderberg,75,0,Lower reported crime
Lotus River,Ottery/Cape Flats,31,11,32,10,7.00E+05,Southern suburbs,33,12,Higher reported crime
Loucharmante,Bellville,46.2,0,32,4,1250000,Northern Suburb,29,0,Higher reported crime
Maitland,Other,37.6,49,33,21,7.00E+05,Northern Suburb,20,6,Higher reported crime
Mandalay,unknown,28.8,1,33,20,1878183.962,cape flats,46,1,Moderate reported crime
Mansfield,Strand,91.2,0,67,0,1687500,helderberg,50,0,Moderate reported crime
Meadowridge,unknown,85.6,2,75,11,3250000,Southern suburbs,77,0,Lower reported crime
Melkbosch Strand,Melkbosstrand,81.9,23,75,0,2750000,Blaauwbergstrand,98,5,Lower reported crime
Milnerton,Milnerton,77.1,15,76,5,1750000,Blaauwbergstrand,7,6,Higher reported crime
Milnerton Ridge,Milnerton,79.1,5,76,5,2250000,Blaauwbergstrand,7,0,Higher reported crime
Montclair,Briza ,26.9,1,76,21,4134615.385,cape flats,46,0,Moderate reported crime
Monte Sereno,unknown,83.8,4,76,3,2750000,helderberg,75,0,Lower reported crime
Monte Vista,Parow,68.5,9,76,9,2250000,Northern Suburb,24,3,Higher reported crime
Morgenster,Brackenfell,52.7,34,77,8,1250000,Northern Suburb,87,0,Lower reported crime
Mouille Point,Atlantic Seaboard,97,1,77,6,2750000,Atlantic,91,0,Lower reported crime
Mountainside,Mountainside & Dennegeur,74.2,3,77,3,2250000,helderberg,98,2,Lower reported crime
Mountview,unknown,39.6,24,35,21,1250000,cape flats,34,4,Moderate reported crime
Mowbray,Observatory,79.2,155,35,25,2250000,Southern suburbs,35,4,Moderate reported crime
Murdock Valley,Simons Town,89,0,88,0,2609375,S penisula,50,0,Moderate reported crime
Mzuri Estate,Somerset Central,67.7,0,48,0,1979661.017,helderberg,50,0,Moderate reported crime
Natures Valley,unknown,75.9,5,35,4,2750000,helderberg,61,0,Moderate reported crime
Ndabeni,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
New Macassar Village,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
New Scheme,unknown,22.6,29,78,1,3.00E+05,helderberg,88,0,Lower reported crime
Newlands,Rondebosch & Newlands,95.3,1,78,15,4750000,Southern suburbs,77,4,Lower reported crime
Noordhoek,Noordhoek,93.6,3,35,2,4750000,S penisula,97,1,Lower reported crime
Noordhoek Manor,Noordhoek,93.6,0,35,0,4750000,S penisula,50,0,Moderate reported crime
Normandie,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
O'Kennedyville,unknown,95,13,36,9,1250000,Northern Suburb,61,0,Moderate reported crime
Oakdale,Bellville,45.6,24,36,10,1250000,Northern Suburb,43,6,Moderate reported crime
Oakglen,Bellville,55.6,18,36,8,9.00E+05,Northern Suburb,43,1,Moderate reported crime
Observatory,Observatory,66,4,79,22,2250000,Southern suburbs,7,4,Higher reported crime
Olive Grove,unknown,78,12,79,8,2250000,helderberg,75,0,Lower reported crime
Onverwacht,Somerset Central,67.7,0,48,0,1979661.017,helderberg,50,0,Moderate reported crime
Oosterzee-Bellville,Bellville,62.5,108,80,16,9.00E+05,Northern Suburb,42,2,Moderate reported crime
Ottery,Ottery/Cape Flats,50.7,11,36,15,1250000,Southern suburbs,33,7,Higher reported crime
Oude Westhof,Bellville,90.4,0,80,3,2250000,Northern Suburb,61,0,Moderate reported crime
Paarde Vlei,unknown,35.6,29,37,6,9.00E+05,helderberg,75,0,Lower reported crime
Panorama,Parow,73.1,4,80,11,2250000,Northern Suburb,42,0,Moderate reported crime
Parel Vallei,Somerset Central,87.5,1,37,3,3250000,helderberg,75,1,Lower reported crime
Parklands,Parklands,57.4,25,37,3,1250000,Blaauwbergstrand,26,6,Higher reported crime
Parks Estate,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Parow,Parow,39.6,53,12,17,5.00E+05,Northern Suburb,42,0,Moderate reported crime
Parow East,Parow,64.5,41,37,17,1797222.222,Northern Suburb,42,0,Moderate reported crime
Parow North,Parow,68.3,14,80,14,1250000,Northern Suburb,42,2,Moderate reported crime
Parow Valley,Parow,42.9,11,81,21,1250000,Northern Suburb,42,1,Moderate reported crime
Pearl Marina,unknown,83.8,2,81,3,2750000,helderberg,75,0,Lower reported crime
Pearlrise,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Peerless Park North,Kraaifontein,40.9,3,81,7,1250000,Northern Suburb,19,1,Higher reported crime
Penhill,unknown,69.1,0,37,4,2250000,Northern Suburb,14,0,Higher reported crime
Penlyn Estate,Athlone,52.4,0,82,21,1250000,cape flats,34,1,Moderate reported crime
Pine Acres,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Pinehurst,Durbanville,75.4,0,82,5,2250000,Northern Suburb,61,1,Moderate reported crime
Pinelands,Other,84.2,8,82,24,3250000,Northern Suburb,73,8,Lower reported crime
Plattekloof 1,unknown,89.7,9,82,11,3750000,Northern Suburb,42,0,Moderate reported crime
Plattekloof 2,Parow,92.5,1,38,9,4750000,Northern Suburb,42,0,Moderate reported crime
Plattekloof 3,Parow,88.6,2,38,7,3750000,Northern Suburb,42,0,Moderate reported crime
Plattekloof Glen,Parow,60.8,17,38,10,1750000,Northern Suburb,24,0,Higher reported crime
Plumstead,Plumstead,68.1,3,38,13,1750000,Southern suburbs,77,8,Lower reported crime
Polkadraai Security Estate,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Portland,Mitchells Plain,27.6,46,83,13,7.00E+05,cape flats,36,16,Moderate reported crime
Protea Heights,Brackenfell,61.5,1,83,9,1750000,Northern Suburb,87,3,Lower reported crime
Protea Valley,Durbanville,83.5,0,83,7,2750000,Northern Suburb,43,0,Moderate reported crime
Ravensmead,Parow,28.2,28,83,18,7.00E+05,Northern Suburb,50,7,Moderate reported crime
Retreat,Ottery/Cape Flats,37.4,41,38,10,9.00E+05,Southern suburbs,83,9,Lower reported crime
Richmond Estate,unknown,50.7,10,84,15,1750000,Northern Suburb,24,3,Higher reported crime
Richmond Park,unknown,69.7,6,39,4,1878183.962,Northern Suburb,88,0,Lower reported crime
Richwood,Parow,43.6,6,39,3,1250000,Northern Suburb,88,1,Lower reported crime
Ridgeworth,Bellville,70.4,0,48,9,2250000,Northern Suburb,43,0,Moderate reported crime
Rivergate,Sandown,24.1,0,84,3,2250000,Blaauwbergstrand,26,2,Higher reported crime
Rocklands,unknown,20.9,17,84,8,5.00E+05,cape flats,36,13,Moderate reported crime
Rome Glen,Somerset Central,86.2,2,84,7,3250000,helderberg,75,0,Lower reported crime
Rondebosch,Rondebosch & Newlands,92.8,0,84,21,2750000,Southern suburbs,98,12,Lower reported crime
Rondebosch East,Rondebosch & Newlands,69.1,10,85,24,1750000,Southern suburbs,34,2,Moderate reported crime
Rosebank,Rondebosch & Newlands,88.3,9,39,20,1750000,Southern suburbs,98,5,Lower reported crime
Rosedale,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Rosedale Estate,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Rosendal,unknown,80.9,13,85,9,1250000,Northern Suburb,61,0,Moderate reported crime
Rosenpark,unknown,69.7,11,85,9,1878183.962,Northern Suburb,61,0,Moderate reported crime
Roundhay,unknown,72.4,7,85,6,1250000,helderberg,75,1,Lower reported crime
Rouxville,Kuils River,60.8,0,85,6,2250000,Northern Suburb,29,0,Higher reported crime
Royal Ascot,unknown,69.5,89,85,6,1750000,Blaauwbergstrand,7,0,Higher reported crime
Rugby,Milnerton,38.9,160,86,11,9.00E+05,Blaauwbergstrand,7,1,Higher reported crime
Rustdal,Kuils River,48.6,14,39,7,1250000,Northern Suburb,29,1,Higher reported crime
Ruyterwacht,Parow,37.4,2,40,17,9.00E+05,Northern Suburb,32,4,Higher reported crime
Rylands,Athlone,55.6,0,86,24,1750000,cape flats,31,2,Higher reported crime
Sagewood,Sandown,79.8,0,40,0,1359375,Blaauwbergstrand,50,0,Moderate reported crime
Salt River,Observatory,39.6,36,86,19,1250000,Southern suburbs,7,4,Higher reported crime
Sanddrift,Milnerton,47.8,49,86,10,1250000,Blaauwbergstrand,7,0,Higher reported crime
Sandown,Sandown,79.8,0,40,3,1250000,Blaauwbergstrand,26,0,Higher reported crime
Sandvlei,unknown,69.7,1,6,6,1878183.962,helderberg,88,0,Lower reported crime
Sarepta,unknown,24.1,8,86,9,7.00E+05,Northern Suburb,29,6,Higher reported crime
Scarborough,Scarborough,83.8,0,40,1,2750000,S penisula,99,0,Lower reported crime
Schapenberg Estate,Somerset Central,67.7,0,48,0,1979661.017,helderberg,50,0,Moderate reported crime
Schonenberg,Erinvale & Other Estates,88.3,34,87,4,3250000,helderberg,75,0,Lower reported crime
Schoongezicht,unknown,80.7,4,87,2,2750000,Northern Suburb,61,0,Moderate reported crime
Scottsdene,Kraaifontein,20.3,23,40,8,5.00E+05,Northern Suburb,19,6,Higher reported crime
Scottsville,unknown,25.6,15,87,8,7.00E+05,Northern Suburb,19,3,Higher reported crime
Sea Point,Atlantic Seaboard,95.5,29,87,6,2750000,Atlantic,91,3,Lower reported crime
Sherwood,Atlantis,12.7,4,88,4,3.00E+05,Blaauwbergstrand,63,0,Moderate reported crime
Silver Oaks,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Silverglade,unknown,69.7,0,46,0,1878183.962,S penisula,50,0,Moderate reported crime
Silvertown,unknown,25.2,85,41,26,7.00E+05,cape flats,31,5,Higher reported crime
Silvertree Estate,Tokai & Steenberg,77.6,0,90,0,2718421.053,Southern suburbs,50,0,Moderate reported crime
Simon's Town,Simons Town,89,4,88,2,2750000,S penisula,99,1,Lower reported crime
Sir Lowrys Pass,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Sitari Country Estate,Country/Eco Estates,84.4,1,41,1,1250000,helderberg,88,1,Lower reported crime
Somerset Forest,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Somerset Lakes,Erinvale & Other Estates,97.7,0,63,0,6083333.333,helderberg,50,0,Moderate reported crime
Somerset Park,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Somerset Ridge,unknown,58.7,17,89,5,1750000,helderberg,75,0,Lower reported crime
Somerset West,Somerset Central,67.7,70,41,6,1250000,helderberg,75,8,Lower reported crime
Somerset West Rural,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Soneike I,Kuils River,65,0,89,8,1750000,Northern Suburb,29,1,Higher reported crime
Sonkring,Brackenfell,71,0,41,8,2250000,Northern Suburb,87,0,Lower reported crime
Sonnendal,unknown,77.6,14,89,12,2750000,Northern Suburb,42,0,Moderate reported crime
Sonstraal,Durbanville,82.2,2,89,6,2750000,Northern Suburb,61,0,Moderate reported crime
Sonstraal Heights,Durbanville,61.8,0,89,8,1750000,Northern Suburb,61,3,Moderate reported crime
Southfield,Plumstead,54,4,89,12,1750000,Southern suburbs,77,1,Lower reported crime
Southfork,Somerset Central,41.8,12,90,5,9.00E+05,helderberg,78,0,Lower reported crime
Spanish Farm,unknown,98.2,1,90,3,6500000,helderberg,75,0,Lower reported crime
Springbok Park,unknown,69.7,0,46,0,1878183.962,Northern Suburb,50,0,Moderate reported crime
Steenberg,Tokai & Steenberg,19.7,22,90,8,5.00E+05,Southern suburbs,83,7,Lower reported crime
Steenbras View,Gordon's Bay,88.3,9,42,3,3250000,helderberg,75,0,Lower reported crime
Stellenberg,Durbanville,71.6,3,90,7,2250000,Northern Suburb,61,0,Moderate reported crime
Stellendale,Kuils River,28.7,9,42,8,7.00E+05,Northern Suburb,29,0,Higher reported crime
Stellenridge,Durbanville,68,4,91,8,2250000,Northern Suburb,43,0,Moderate reported crime
Stellenryk,Durbanville,73.6,3,91,8,2750000,Northern Suburb,61,1,Moderate reported crime
