location,macro_suburb,property_percentile,taxi_routes,civic_responsiveness_percentile,healthcare_facilities_5km,median_gv,region,safety_score,school_count,risk_profile
Windsor Park,Kraaifontein,47,0,57,0,1215454.545,Northern Suburb,50,0,Moderate reported crime
Winslow,unknown,49.9,8,98,3,1250000,helderberg,98,0,Lower reported crime
Woodbridge Island,Milnerton,77.1,0,76,0,2322463.768,Blaauwbergstrand,50,0,Moderate reported crime
Woodlands,unknown,19,40,47,15,5.00E+05,cape flats,46,5,Moderate reported crime
Wynberg,Wynberg,54,101,98,13,1250000,Southern suburbs,57,16,Moderate reported crime
Zevenwacht Country Estate,unknown,94.2,0,99,3,4750000,Northern Suburb,29,0,Higher reported crime
Zevenwacht Retirement Village,unknown,77.2,0,47,3,3750000,Northern Suburb,29,0,Higher reported crime
Zevenzicht,unknown,75.9,0,99,4,2750000,Northern Suburb,29,0,Higher reported crime
Zilvermyn Estate,unknown,69.7,0,46,0,1878183.962,S penisula,50,0,Moderate reported crime
Zoo Park,Kraaifontein,42.9,13,99,10,1250000,Northern Suburb,19,0,Higher reported crime
